run,label,dataset,fold,batch_size,lr,tau,alpha,accuracy,auc,fd,fs,md,ms
a3f08872,v1,I,5,16,1e-05,0.2,0.8,0.6785714030265808,0.6672219634056091,0.6538461446762085,0.65625,0.7307692170143127,0.6785714030265808
fe06016d,v1,I,5,16,0.0001,0.2,0.8,0.6581632494926453,0.6712828278541565,0.692307710647583,0.671875,0.6730769276618958,0.5357142686843872
0689c2ec,v1,I,5,16,0.001,0.2,0.8,0.7346938848495483,0.7704081535339355,0.6730769276618958,0.78125,0.7692307829856873,0.6785714030265808
679c992c,v1,I,4,16,1e-05,0.2,0.8,0.6491228342056274,0.6488150358200073,0.6851851940155029,0.625,0.5961538553237915,0.6818181872367859
46b8626d,v1,I,4,16,0.0001,0.2,0.8,0.6535087823867798,0.6793628931045532,0.6111111044883728,0.625,0.6538461446762085,0.7121211886405945
5bbe4c1b,v1,I,4,16,0.001,0.2,0.8,0.7105262875556946,0.7443828582763672,0.6851851940155029,0.7142857313156128,0.7307692170143127,0.7121211886405945
c5e565c3,v1,I,3,16,1e-05,0.2,0.8,0.6542056202888489,0.680496096611023,0.6111111044883728,0.671875,0.6600000262260437,0.6739130616188049
e51e06bc,v1,I,3,16,0.0001,0.2,0.8,0.663551390171051,0.6825050115585327,0.6296296119689941,0.703125,0.6399999856948853,0.6739130616188049
d90a7a20,v1,I,3,16,0.001,0.2,0.8,0.7102803587913513,0.7253909111022949,0.6666666865348816,0.765625,0.6600000262260437,0.739130437374115
95deb9d8,v1,I,2,16,1e-05,0.2,0.8,0.6805555820465088,0.7275377511978149,0.7222222089767456,0.6969696879386902,0.699999988079071,0.5869565010070801
07230217,v1,I,2,16,0.0001,0.2,0.8,0.7407407164573669,0.7709190845489502,0.7962962985038757,0.6666666865348816,0.8399999737739563,0.6739130616188049
da64f76c,v1,I,2,16,0.001,0.2,0.8,0.7916666865348816,0.8495370149612427,0.7962962985038757,0.6969696879386902,0.959999978542328,0.739130437374115
a97b6676,v1,I,1,16,1e-05,0.2,0.8,0.7641509175300598,0.7834638357162476,0.7037037014961243,0.8064516186714172,0.7400000095367432,0.804347813129425
8a17cf7a,v1,I,1,16,0.0001,0.2,0.8,0.75,0.7843538522720337,0.6851851940155029,0.7580645084381104,0.7799999713897705,0.782608687877655
