run,accuracy,diff,fam,ind,rel,alpha_neg,tau,enable_hcl
5a0d45ba,0.8040000200271606,0.0,0.0,0.0,1.0,0.8,0.1,30
2eeca4f7,0.7979999780654907,0.0,0.0,0.0,1.0,0.4,0.2,30
e696bd4c,0.8090000152587891,0.0,0.0,0.0,1.0,0.8,0.05,30
dd85ad88,0.7979999780654907,0.0,0.0,0.0,1.0,0.8,0.2,30
d4c7229d,0.8090000152587891,0.0,0.0,0.0,1.0,0.4,0.05,30
39ba3296,0.796999990940094,1.0,0.0,0.0,0.0,0.2,0.3,10
a65e6eff,0.8050000071525574,1.0,0.0,0.0,0.0,0.2,0.1,10
b914cbf2,0.8140000104904175,1.0,0.0,0.0,0.0,0.8,0.2,0
4efe2022,0.8050000071525574,1.0,0.0,0.0,0.0,0.2,0.05,10
f9b66730,0.7990000247955322,1.0,0.0,0.0,0.0,0.2,0.2,10
e7fe869c,0.8140000104904175,1.0,0.0,0.0,0.0,0.8,0.3,0
dc662bad,0.8119999766349792,1.0,0.0,0.0,0.0,0.8,0.1,10
bb45500b,0.8019999861717224,1.0,0.0,0.0,0.0,0.4,0.3,10
d20f5984,0.8050000071525574,1.0,0.0,0.0,0.0,0.4,0.05,10
247bc72a,0.8019999861717224,1.0,0.0,0.0,0.0,0.4,0.2,10
dccdcc58,0.8050000071525574,1.0,0.0,0.0,0.0,0.8,0.05,10
143c2252,0.8069999814033508,1.0,0.0,0.0,0.0,0.4,0.1,10
8aab0bfd,0.8149999976158142,1.0,0.0,0.0,0.0,0.8,0.2,10
344ea6ac,0.8050000071525574,1.0,0.0,0.0,0.0,0.2,0.05,20
9c16c479,0.8149999976158142,1.0,0.0,0.0,0.0,0.8,0.3,10
07d699d8,0.7950000166893005,1.0,0.0,0.0,0.0,0.2,0.3,20
3e1beac7,0.8050000071525574,1.0,0.0,0.0,0.0,0.2,0.1,20
bd397352,0.7979999780654907,1.0,0.0,0.0,0.0,0.2,0.2,20
7143dbb2,0.8050000071525574,1.0,0.0,0.0,0.0,0.4,0.05,20
b9e7e007,0.8050000071525574,1.0,0.0,0.0,0.0,0.4,0.1,20
630fcba1,0.7979999780654907,1.0,0.0,0.0,0.0,0.4,0.2,20
c77f425d,0.7950000166893005,1.0,0.0,0.0,0.0,0.4,0.3,20
7785c99e,0.8050000071525574,1.0,0.0,0.0,0.0,0.8,0.05,20
77c81984,0.8050000071525574,1.0,0.0,0.0,0.0,0.8,0.1,20
c9d91fb5,0.7979999780654907,1.0,0.0,0.0,0.0,0.8,0.2,20
bcde0651,0.7950000166893005,1.0,0.0,0.0,0.0,0.8,0.3,20
c2be2a88,0.8050000071525574,1.0,0.0,0.0,0.0,0.2,0.05,30
8864e6dd,0.8050000071525574,1.0,0.0,0.0,0.0,0.2,0.1,30
18968b35,0.7979999780654907,1.0,0.0,0.0,0.0,0.2,0.2,30
9bbec775,0.7950000166893005,1.0,0.0,0.0,0.0,0.2,0.3,30
c3817327,0.8050000071525574,1.0,0.0,0.0,0.0,0.4,0.05,30
084dbdcf,0.8050000071525574,1.0,0.0,0.0,0.0,0.4,0.1,30
dba79747,0.7979999780654907,1.0,0.0,0.0,0.0,0.4,0.2,30
cd1d980d,0.7950000166893005,1.0,0.0,0.0,0.0,0.4,0.3,30
79e5ed1c,0.8050000071525574,1.0,0.0,0.0,0.0,0.8,0.05,30
f1d79c81,0.8050000071525574,1.0,0.0,0.0,0.0,0.8,0.1,30
df6a8898,0.7979999780654907,1.0,0.0,0.0,0.0,0.8,0.2,30
83b43ac6,0.7950000166893005,1.0,0.0,0.0,0.0,0.8,0.3,30
0d315502,0.7979999780654907,1.0,0.0,0.0,0.0,0.2,0.3,0
790e95a0,0.800000011920929,1.0,0.0,0.0,0.0,0.2,0.2,0
25036262,0.8059999942779541,1.0,0.0,0.0,0.0,0.2,0.1,0
b63393ae,0.8050000071525574,1.0,0.0,0.0,0.0,0.2,0.05,0
927f0f93,0.7950000166893005,1.0,0.0,0.0,0.0,0,0.3,0
3fa33af2,0.7979999780654907,1.0,0.0,0.0,0.0,0,0.2,0
8253de63,0.8050000071525574,1.0,0.0,0.0,0.0,0,0.1,0
a7163a70,0.8059999942779541,1.0,0.0,0.0,0.0,0,0.05,0
ba3abea6,0.781000018119812,1.0,0.0,0.0,0.0,0.2,0.3,0
0a6d2f62,0.8059999942779541,1.0,0.0,0.0,0.0,0.2,0.05,0
fb2e7355,0.7950000166893005,0.0,0.0,0.0,0.0,0.8,0.3,30
3e0da720,0.800000011920929,0.0,0.0,0.0,0.0,0.8,0.15,30
03903670,0.8069999814033508,0.0,0.0,0.0,0.0,0.8,0.05,30
9b7f028a,0.7950000166893005,0.0,0.0,0.0,0.0,0.4,0.3,30
e8174ff4,0.800000011920929,0.0,0.0,0.0,0.0,0.4,0.15,30
5f62ff1c,0.8069999814033508,0.0,0.0,0.0,0.0,0.4,0.05,30
f8dc8ba2,0.7950000166893005,0.0,0.0,0.0,0.0,0.0,0.3,30
833b9787,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.15,30
debbb41e,0.8069999814033508,0.0,0.0,0.0,0.0,0.0,0.05,30
9d93d32f,0.7950000166893005,0.0,0.0,0.0,0.0,0.8,0.3,20
64bd812e,0.800000011920929,0.0,0.0,0.0,0.0,0.8,0.15,20
